id,area,county,parish
10,a,"Varsinais-Suomi","Angelniemi"
20,a,"Varsinais-Suomi","Askainen"
30,a,"Varsinais-Suomi","Aura"
40,a,"Varsinais-Suomi","Dragsfjärd"
41,a,"Varsinais-Suomi","Hiittinen"
51,a,"Varsinais-Suomi","Tarvasjoki"
61,a,"Varsinais-Suomi","Särkisalo"
70,a,"Varsinais-Suomi","Halikko"
80,a,"Varsinais-Suomi","Houtskari"
90,a,"Varsinais-Suomi","Iniö"
100,a,"Varsinais-Suomi","Kaarina"
110,a,"Varsinais-Suomi","Kakskerta"
111,a,"Varsinais-Suomi","Maaria"
112,a,"Varsinais-Suomi","Paattinen"
114,a,"Varsinais-Suomi","Turku"
121,a,"Varsinais-Suomi","Uusikirkko Tl."
130,a,"Varsinais-Suomi","Karinainen"
140,a,"Varsinais-Suomi","Karjala Tl."
141,a,"Varsinais-Suomi","Mynämäki"
150,a,"Varsinais-Suomi","Karuna"
151,a,"Varsinais-Suomi","Sauvo"
160,a,"Varsinais-Suomi","Kemiö"
170,a,"Varsinais-Suomi","Kiikala"
180,a,"Varsinais-Suomi","Kisko"
191,a,"Varsinais-Suomi","Kustavi"
200,a,"Varsinais-Suomi","Kodisjoki"
211,a,"Varsinais-Suomi","Korppoo"
220,a,"Varsinais-Suomi","Koski Tl."
230,a,"Varsinais-Suomi","Kuusjoki"
240,a,"Varsinais-Suomi","Laitila"
250,a,"Varsinais-Suomi","Lappi Tl."
260,a,"Varsinais-Suomi","Lemu"
270,a,"Varsinais-Suomi","Lieto"
280,a,"Varsinais-Suomi","Lokalahti"
282,a,"Varsinais-Suomi","Pyhämaa"
283,a,"Varsinais-Suomi","Uusikaupunki"
284,a,"Varsinais-Suomi","Uusikaupunki mlk"
290,a,"Varsinais-Suomi","Marttila"
300,a,"Varsinais-Suomi","Masku"
310,a,"Varsinais-Suomi","Merimasku"
320,a,"Varsinais-Suomi","Mietoinen"
330,a,"Varsinais-Suomi","Muurla"
340,a,"Varsinais-Suomi","Naantali"
341,a,"Varsinais-Suomi","Naantali mlk"
351,a,"Varsinais-Suomi","Nauvo"
360,a,"Varsinais-Suomi","Nousiainen"
370,a,"Varsinais-Suomi","Paimio"
381,a,"Varsinais-Suomi","Parainen"
390,a,"Varsinais-Suomi","Perniö"
400,a,"Varsinais-Suomi","Pertteli"
410,a,"Varsinais-Suomi","Piikkiö"
420,a,"Varsinais-Suomi","Pyhäranta"
430,a,"Varsinais-Suomi","Pöytyä"
440,a,"Varsinais-Suomi","Raisio"
450,a,"Varsinais-Suomi","Rusko"
460,a,"Varsinais-Suomi","Rymättylä"
470,a,"Varsinais-Suomi","Salo"
471,a,"Varsinais-Suomi","Uskela"
480,a,"Varsinais-Suomi","Suomusjärvi"
490,a,"Varsinais-Suomi","Taivassalo"
500,a,"Varsinais-Suomi","Vahto"
510,a,"Varsinais-Suomi","Vehmaa"
520,a,"Varsinais-Suomi","Velkua"
530,a,"Varsinais-Suomi","Västanfjärd"
540,a,"Varsinais-Suomi","Yläne"
9000,a,"Varsinais-Suomi","Varsinais-Suomi"
550,b,"Satakunta","Ahlainen"
551,b,"Satakunta","Pori"
552,b,"Satakunta","Pori mlk"
560,b,"Satakunta","Aitolahti"
561,b,"Satakunta","Tampere"
562,b,"Satakunta","Teisko"
564,b,"Satakunta","Messukylä"
570,b,"Satakunta","Alastaro"
580,b,"Satakunta","Eräjärvi"
581,b,"Satakunta","Juupajoki"
582,b,"Satakunta","Orivesi"
590,b,"Satakunta","Eura"
591,b,"Satakunta","Hinnerjoki"
592,b,"Satakunta","Honkilahti"
600,b,"Satakunta","Eurajoki"
610,b,"Satakunta","Harjavalta"
621,b,"Satakunta","Honkajoki"
630,b,"Satakunta","Huittinen"
640,b,"Satakunta","Hämeenkyrö"
650,b,"Satakunta","Ikaalinen"
651,b,"Satakunta","Ikaalinen mlk"
660,b,"Satakunta","Jämijärvi"
671,b,"Satakunta","Tyrvää"
672,b,"Satakunta","Karkku"
680,b,"Satakunta","Kangasala"
690,b,"Satakunta","Kankaanpää"
700,b,"Satakunta","Karvia"
710,b,"Satakunta","Kauvatsa"
711,b,"Satakunta","Kokemäki"
720,b,"Satakunta","Keikyä"
721,b,"Satakunta","Kiikka"
730,b,"Satakunta","Keuruu"
731,b,"Satakunta","Pihlajavesi"
740,b,"Satakunta","Kihniö"
750,b,"Satakunta","Kiikoinen"
760,b,"Satakunta","Kiukainen"
770,b,"Satakunta","Kuhmalahti"
780,b,"Satakunta","Kullaa"
790,b,"Satakunta","Kuru"
800,b,"Satakunta","Köyliö"
810,b,"Satakunta","Lavia"
820,b,"Satakunta","Lempäälä"
830,b,"Satakunta","Loimaa"
833,b,"Satakunta","Metsämaa"
840,b,"Satakunta","Luvia"
850,b,"Satakunta","Mellilä"
860,b,"Satakunta","Merikarvia"
870,b,"Satakunta","Mouhijärvi"
880,b,"Satakunta","Multia"
890,b,"Satakunta","Mänttä"
900,b,"Satakunta","Nakkila"
910,b,"Satakunta","Nokia"
911,b,"Satakunta","Pirkkala"
913,b,"Satakunta","Suoniemi"
914,b,"Satakunta","Tottijärvi"
920,b,"Satakunta","Noormarkku"
930,b,"Satakunta","Oripää"
940,b,"Satakunta","Parkano"
950,b,"Satakunta","Pomarkku"
960,b,"Satakunta","Punkalaidun"
970,b,"Satakunta","Rauma"
971,b,"Satakunta","Rauma mlk"
980,b,"Satakunta","Ruovesi"
990,b,"Satakunta","Sahalahti"
1000,b,"Satakunta","Siikainen"
1010,b,"Satakunta","Suodenniemi"
1020,b,"Satakunta","Säkylä"
1030,b,"Satakunta","Ulvila"
1040,b,"Satakunta","Vampula"
1050,b,"Satakunta","Vesilahti"
1060,b,"Satakunta","Viljakkala"
1070,b,"Satakunta","Vilppula"
1080,b,"Satakunta","Virrat"
1090,b,"Satakunta","Ylöjärvi"
2000,b,"Satakunta","Ähtäri"
9010,b,"Satakunta","Satakunta"
2010,c,"Uusimaa","Anjala"
2013,c,"Uusimaa","Sippola"
2020,c,"Uusimaa","Artjärvi"
2030,c,"Uusimaa","Askola"
2042,c,"Uusimaa","Pornainen"
2050,c,"Uusimaa","Bromarv"
2051,c,"Uusimaa","Hanko"
2052,c,"Uusimaa","Tenhola"
2060,c,"Uusimaa","Degerby"
2070,c,"Uusimaa","Elimäki"
2080,c,"Uusimaa","Espoo"
2090,c,"Uusimaa","Haapasaari"
2092,c,"Uusimaa","Kotka"
2093,c,"Uusimaa","Kymi"
2100,c,"Uusimaa","Hamina"
2110,c,"Uusimaa","Helsinki"
2111,c,"Uusimaa","Helsingin pitäjä"
2120,c,"Uusimaa","Hyvinkää"
2130,c,"Uusimaa","Inkoo"
2140,c,"Uusimaa","Järvenpää"
2150,c,"Uusimaa","Karjaa"
2160,c,"Uusimaa","Karjalohja"
2171,c,"Uusimaa","Pyhäjärvi Ul"
2190,c,"Uusimaa","Kerava"
2200,c,"Uusimaa","Kirkkonummi"
2210,c,"Uusimaa","Lapinjärvi"
2220,c,"Uusimaa","Liljendal"
2230,c,"Uusimaa","Lohja"
2240,c,"Uusimaa","Loviisa"
2250,c,"Uusimaa","Myrskylä"
2260,c,"Uusimaa","Mäntsälä"
2270,c,"Uusimaa","Nummi"
2271,c,"Uusimaa","Pusula"
2280,c,"Uusimaa","Nurmijärvi"
2290,c,"Uusimaa","Pernaja"
2300,c,"Uusimaa","Pohja"
2310,c,"Uusimaa","Porvoo"
2311,c,"Uusimaa","Porvoo mlk"
2320,c,"Uusimaa","Pukkila"
2330,c,"Uusimaa","Pyhtää"
2340,c,"Uusimaa","Ruotsinpyhtää"
2350,c,"Uusimaa","Sammatti"
2360,c,"Uusimaa","Sipoo"
2370,c,"Uusimaa","Siuntio"
2380,c,"Uusimaa","Snappertuna"
2382,c,"Uusimaa","Tammisaari"
2390,c,"Uusimaa","Tuusula"
2410,c,"Uusimaa","Vehkalahti"
2420,c,"Uusimaa","Vihti"
9020,c,"Uusimaa","Uusimaa"
2430,d,"Häme","Akaa"
2431,d,"Häme","Toijala"
2440,d,"Häme","Asikkala"
2450,d,"Häme","Forssa"
2451,d,"Häme","Koijärvi"
2460,d,"Häme","Hartola"
2470,d,"Häme","Hattula"
2472,d,"Häme","Tyrväntö"
2480,d,"Häme","Hauho"
2490,d,"Häme","Hausjärvi"
2500,d,"Häme","Heinola"
2501,d,"Häme","Heinola mlk"
2510,d,"Häme","Hollola"
2520,d,"Häme","Humppila"
2530,d,"Häme","Hämeenlinna"
2531,d,"Häme","Vanaja"
2540,d,"Häme","Iitti"
2550,d,"Häme","Jaala"
2560,d,"Häme","Janakkala"
2570,d,"Häme","Jokioinen"
2580,d,"Häme","Joutsa"
2590,d,"Häme","Jämsä"
2591,d,"Häme","Koskenpää"
2600,d,"Häme","Jämsänkoski"
2610,d,"Häme","Kalvola"
2620,d,"Häme","Korpilahti"
2630,d,"Häme","Koski Hl"
2640,d,"Häme","Kouvola"
2650,d,"Häme","Kuhmoinen"
2670,d,"Häme","Kuorevesi"
2680,d,"Häme","Kuusankoski"
2690,d,"Häme","Kylmäkoski"
2700,d,"Häme","Kärkölä"
2710,d,"Häme","Lahti"
2720,d,"Häme","Lammi"
2730,d,"Häme","Leivonmäki"
2740,d,"Häme","Loppi"
2750,d,"Häme","Luhanka"
2760,d,"Häme","Luopioinen"
2770,d,"Häme","Längelmäki"
2780,d,"Häme","Muurame"
2790,d,"Häme","Nastola"
2800,d,"Häme","Orimattila"
2810,d,"Häme","Padasjoki"
2821,d,"Häme","Ypäjä"
2830,d,"Häme","Pälkäne"
2840,d,"Häme","Renko"
2850,d,"Häme","Riihimäki"
2860,d,"Häme","Somerniemi"
2861,d,"Häme","Somero"
2870,d,"Häme","Sysmä"
2890,d,"Häme","Sääksmäki"
2891,d,"Häme","Valkeakoski"
2900,d,"Häme","Tammela"
2910,d,"Häme","Tuulos"
2930,d,"Häme","Urjala"
2940,d,"Häme","Valkeala"
2950,d,"Häme","Viiala"
9030,d,"Häme","Häme"
2960,e,"Keski-Suomi","Hankasalmi"
2970,e,"Keski-Suomi","Jyväskylä"
2971,e,"Keski-Suomi","Jyväskylä mlk"
2980,e,"Keski-Suomi","Kannonkoski"
2990,e,"Keski-Suomi","Karstula"
3000,e,"Keski-Suomi","Keitele"
3010,e,"Keski-Suomi","Kinnula"
3020,e,"Keski-Suomi","Kivijärvi"
3030,e,"Keski-Suomi","Konginkangas"
3040,e,"Keski-Suomi","Konnevesi"
3051,e,"Keski-Suomi","Petäjävesi"
3061,e,"Keski-Suomi","Uurainen"
3070,e,"Keski-Suomi","Kyyjärvi"
3080,e,"Keski-Suomi","Laukaa"
3090,e,"Keski-Suomi","Pihtipudas"
3100,e,"Keski-Suomi","Pylkönmäki"
3110,e,"Keski-Suomi","Rautalampi"
3120,e,"Keski-Suomi","Saarijärvi"
3130,e,"Keski-Suomi","Sumiainen"
3140,e,"Keski-Suomi","Suolahti"
3150,e,"Keski-Suomi","Toivakka"
3160,e,"Keski-Suomi","Vesanto"
3170,e,"Keski-Suomi","Viitasaari"
3180,e,"Keski-Suomi","Äänekoski"
3181,e,"Keski-Suomi","Äänekoski mlk"
9040,e,"Keski-Suomi","Keski-Suomi"
3190,f,"Etelä-Savo","Anttola"
3200,f,"Etelä-Savo","Enonkoski"
3210,f,"Etelä-Savo","Haukivuori"
3220,f,"Etelä-Savo","Heinävesi"
3230,f,"Etelä-Savo","Hirvensalmi"
3240,f,"Etelä-Savo","Imatra"
3250,f,"Etelä-Savo","Joroinen"
3260,f,"Etelä-Savo","Joutseno"
3270,f,"Etelä-Savo","Juva"
3280,f,"Etelä-Savo","Jäppilä"
3290,f,"Etelä-Savo","Kangaslampi"
3300,f,"Etelä-Savo","Kangasniemi"
3310,f,"Etelä-Savo","Kerimäki"
3320,f,"Etelä-Savo","Lappee"
3321,f,"Etelä-Savo","Lappeenranta"
3323,f,"Etelä-Savo","Lauritsala"
3330,f,"Etelä-Savo","Lemi"
3340,f,"Etelä-Savo","Luumäki"
3350,f,"Etelä-Savo","Mikkeli"
3351,f,"Etelä-Savo","Mikkeli mlk"
3360,f,"Etelä-Savo","Mäntyharju"
3370,f,"Etelä-Savo","Pertunmaa"
3380,f,"Etelä-Savo","Pieksämäki mlk"
3381,f,"Etelä-Savo","Pieksämäki"
3390,f,"Etelä-Savo","Punkaharju"
3400,f,"Etelä-Savo","Puumala"
3410,f,"Etelä-Savo","Rantasalmi"
3420,f,"Etelä-Savo","Ristiina"
3430,f,"Etelä-Savo","Ruokolahti"
3440,f,"Etelä-Savo","Savitaipale"
3450,f,"Etelä-Savo","Savonlinna"
3451,f,"Etelä-Savo","Sääminki"
3460,f,"Etelä-Savo","Savonranta"
3470,f,"Etelä-Savo","Sulkava"
3480,f,"Etelä-Savo","Suomenniemi"
3491,f,"Etelä-Savo","Taipalsaari"
3500,f,"Etelä-Savo","Virtasalmi"
9050,f,"Etelä-Savo","Etelä-Savo"
3510,g,"Pohjois-Savo","Iisalmi"
3511,g,"Pohjois-Savo","Iisalmi mlk"
3520,g,"Pohjois-Savo","Juankoski"
3521,g,"Pohjois-Savo","Muuruvesi"
3530,g,"Pohjois-Savo","Karttula"
3541,g,"Pohjois-Savo","Siilinjärvi"
3550,g,"Pohjois-Savo","Kiuruvesi"
3560,g,"Pohjois-Savo","Kuopio"
3561,g,"Pohjois-Savo","Kuopio mlk"
3562,g,"Pohjois-Savo","Riistavesi"
3570,g,"Pohjois-Savo","Lapinlahti"
3580,g,"Pohjois-Savo","Leppävirta"
3590,g,"Pohjois-Savo","Maaninka"
3600,g,"Pohjois-Savo","Nilsiä"
3610,g,"Pohjois-Savo","Pielavesi"
3621,g,"Pohjois-Savo","Sonkajärvi"
3630,g,"Pohjois-Savo","Suonenjoki"
3640,g,"Pohjois-Savo","Tervo"
3650,g,"Pohjois-Savo","Tuusniemi"
3660,g,"Pohjois-Savo","Varkaus"
3670,g,"Pohjois-Savo","Varpaisjärvi"
3680,g,"Pohjois-Savo","Vehmersalmi"
3690,g,"Pohjois-Savo","Vieremä"
9060,g,"Pohjois-Savo","Pohjois-Savo"
3700,h,"Etelä-Karjala (Karjalan kannas)","Antrea"
3701,h,"Etelä-Karjala (Karjalan kannas)","Vuoksenranta"
3711,h,"Etelä-Karjala (Karjalan kannas)","Kuolemajärvi"
3720,h,"Etelä-Karjala (Karjalan kannas)","Heinjoki"
3730,h,"Etelä-Karjala (Karjalan kannas)","Hiitola"
3740,h,"Etelä-Karjala (Karjalan kannas)","Jaakkima"
3750,h,"Etelä-Karjala (Karjalan kannas)","Johannes"
3760,h,"Etelä-Karjala (Karjalan kannas)","Jääski"
3770,h,"Etelä-Karjala (Karjalan kannas)","Kanneljärvi"
3771,h,"Etelä-Karjala (Karjalan kannas)","Uusikirkko Vpl."
3780,h,"Etelä-Karjala (Karjalan kannas)","Kaukola"
3790,h,"Etelä-Karjala (Karjalan kannas)","Kirvu"
3800,h,"Etelä-Karjala (Karjalan kannas)","Kivennapa"
3811,h,"Etelä-Karjala (Karjalan kannas)","Parikkala"
3820,h,"Etelä-Karjala (Karjalan kannas)","Koivisto"
3830,h,"Etelä-Karjala (Karjalan kannas)","Kurkijoki"
3840,h,"Etelä-Karjala (Karjalan kannas)","Käkisalmi"
3850,h,"Etelä-Karjala (Karjalan kannas)","Lavansaari"
3860,h,"Etelä-Karjala (Karjalan kannas)","Lumivaara"
3870,h,"Etelä-Karjala (Karjalan kannas)","Metsäpirtti"
3880,h,"Etelä-Karjala (Karjalan kannas)","Miehikkälä"
3890,h,"Etelä-Karjala (Karjalan kannas)","Muolaa"
3892,h,"Etelä-Karjala (Karjalan kannas)","Äyräpää"
3900,h,"Etelä-Karjala (Karjalan kannas)","Rautjärvi"
3901,h,"Etelä-Karjala (Karjalan kannas)","Simpele"
3910,h,"Etelä-Karjala (Karjalan kannas)","Rautu"
3920,h,"Etelä-Karjala (Karjalan kannas)","Räisälä"
3930,h,"Etelä-Karjala (Karjalan kannas)","Saari"
3940,h,"Etelä-Karjala (Karjalan kannas)","Sakkola"
