t010100_0010	Aaltojen asettajat, kolme veljestä
t010100_0020	Aglisakan, Ransusin ja meidän kuninkaan sota
t010100_0030	Ahdin ja Kyllikin runo
t010100_0040	Ahdin meriretki
t010100_0045	Aika antaa ainoasi
t010100_0050	Aittaan mäelle pukeutumaan
t010100_0060	Ajelen mie hanhuzie
t010100_0070	Ajoi neito allisella
t010100_0080	Ajoin heikoksi hevosen - itkien kotiin
t010100_0090	Ajoin Kunnolan kujaan
t010100_0100	Akan poika
t010100_0110	Ammuin joutsenet joelta
t010100_0120	Ammuin nuolen taivaaseen, nousin sitä myöten
t010100_0130	Ammuin tetrin emolle
t010100_0140	Ankkuri mereen, laiva vihertävän metsän alle
t010100_0150	Anni tuolta annettiin
t010100_0160	Annikaisen virsi
t010100_0170	Annikki vierähti veteen, kasvoi kaloja
t010100_0190	Anteruksen runo
t010100_0200	Betlehemin lasten surma
t010100_0210	Eeva, vaimo ensimmäinen
t010100_0220	Ei ole sääli Suomen maita
t010100_0230	Ei silloin hyvin eletty
t010100_0240	Elettiin ennen meillä
t010100_0250	Elinan surma
t010100_0260	Eläimet kosijoina
t010100_0270	Eläimet sanansaattajina
t010100_0280	Emo teki viisi tyttölasta
t010100_0290	Emon pään karsiminen
t010100_0300	En tohi kotiin korven kukkasitta
t010100_0310	Ennen naidun naisen tappo
t010100_0320	Hanhi kadonnut
t010100_0330	Hekon runo
t010100_0340	Helena hyvä emäntä
t010100_0350	Hernevartinen hevonen
t010100_0360	Herodes
t010100_0370	Herra Petterin laulu
t010100_0380	Herrasmiehelle menijä
t010100_0390	Hevonen kadonnut veljeltä
t010100_0400	Hevonen varastetaan oluenjuojalta
t010100_0410	Hiiden hirven hiihdäntä
t010100_0420	Hiiden sepän kahlinta
t010100_0430	Hiidestä kosinta
t010100_0440	Hiihdin, tein majan, tapoin punaisen kukon
t010100_0450	Hiihtävä surma
t010100_0460	Hiiputi, hiiputi hiekkasta tietä
t010100_0470	Hiisi
t010100_0480	Hirttäytynyt neito
t010100_0490	Hirvet tappelevat
t010100_0500	Hirvi ja lähde
t010100_0510	Hirvi ohrassa
t010100_0520	Hotari hopeaseppä
t010100_0530	Hukkunut veli syötiin kalana
t010100_0540	Hämähäkin runo
t010100_0550	Hävis Kirjo karjastani, rengit etsimään
t010100_0560	Ihmehevonen
t010100_0570	Iivana Kojosenpoika
t010100_0580	Iivanan virsi
t010100_0590	Ilmanimmen kosinta
t010100_0600	Ilmarinen kengitti hevosta
t010100_0610	Ilmarisen takominen
t010100_0620	Ilolaulu Jesuksesta (Salamnius)
t010100_0630	Inkerin virsi
t010100_0640	Iro-neito
t010100_0650	Iski tulta Ilmarinta
t010100_0660	Iso hauki
t010100_0670	Iso härkä
t010100_0680	Iso kokko
t010100_0690	Iso sika
t010100_0700	Iso tammi
t010100_0710	Itketkö sinä minua?
t010100_0720	Jaakko Pontus
t010100_0730	Jaanin laiva
t010100_0740	Jalka kiveen
t010100_0750	Jeesus juotti hevosta Jordanista
t010100_0760	Jouduin juottoon jumalan
t010100_0770	Juomarin kaupunkimatka
t010100_0780	Kaarle-herttuan runo
t010100_0790	Kaarlon sota
t010100_0800	Kadonnut neito
t010100_0810	Kaivot kaikki kuivuneet
t010100_0820	Kalervo ja Untamo
t010100_0830	Kaleva poikineen etsi elosijaa
t010100_0840	Kalevalasta opittuja
t010100_0850	Kalevanpojan kosto
t010100_0860	Kalojen synty täistä
t010100_0870	Kannan rahaa Tanilan linnan takaa
t010100_0880	Kanteleen soitto
t010100_0890	Kanteleen synty
t010100_0900	Kanto kaatui - itkien kotiin
t010100_0910	Kanto meressä
t010100_0920	Karhu kaasi Annikin lehmät
t010100_0930	Karhunnahkassa kirkonmäelle
t010100_0940	Karjalan kasket palavat
t010100_0950	Kasvatti emo kanoja
t010100_0960	Kasvoi miirun mieltä myöten - miekka
t010100_0970	Kasvoi neito Kaarelassa
t010100_0980	Katri ja ulaani
t010100_0990	Katriina vastaksessa
t010100_1000	Katriinan poltto
t010100_1010	Katrina kotikananen
t010100_1020	Kaukamoisen virsi
t010100_1030	Keinotekoinen vaimo
t010100_1040	Kelvoton nainen
t010100_1050	Ken huutaa kostiin
t010100_1055	Kenpä saarella savua polttaa?
t010100_1060	Keträsin kesoisen päivän
t010100_1070	Kilpakosinta
t010100_1080	Kilpalaulanta
t010100_1090	Kirkko tehdään, minne lastut lankeavat
t010100_1100	Kirkkomatkalla vaatteensa ryvettänyt neito
t010100_1110	Kirkon tarvisaineiden etsintä
t010100_1120	Kiusasin kivelle uida
t010100_1130	Kivestä kirja
t010100_1140	Kodin hävittäjä
t010100_1150	Koiran lypsäjä Anni
t010100_1160	Kojosen pojan veneen kaatoi tuuli
t010100_1170	Kolme jokea juoksi kotini ympäri
t010100_1180	Kolme käkeä
t010100_1190	Kolme torvea
t010100_1200	Kommilta kosinta
t010100_1210	Konnusta kosinta
t010100_1220	Koskelta kosinta
t010100_1230	Kouluun kotoa
t010100_1240	Kuin mie kasvannen isoksi
t010100_1250	Kukkiit, kukkiit kukkaset, vaan ei kauan
t010100_1260	Kullan kutsut
t010100_1270	Kullan tupa
t010100_1280	Kullasta saari
t010100_1290	Kullervoinen mies kuningas
t010100_1300	Kullervon sotaanlähtö
t010100_1310	Kultalangan katkeaminen
t010100_1320	Kultamies, kultahattu, kultakintaat
t010100_1330	Kultaneito
t010100_1340	Kultasilta taatolle, olkisilta sulholle
t010100_1350	Kuninkaalle menijä
t010100_1360	Kuoli muinoin musta ruuna
t010100_1370	Kuolon sanomat
t010100_1380	Kuulin kuin orava laulo
t010100_1390	Kuuttaret kutojina
t010100_1400	Kylvän, kylvän pelvašta
t010100_1410	Kylvöihme
t010100_1420	Kynnin kymmenen vakoa
t010100_1430	Kyntäjä ja pedot
t010100_1440	Kyrpä kyyillä ajavi
t010100_1450	Kyrvän velat
t010100_1460	Kyynelten vierintä
t010100_1470	Kävin piittä pitkät matkat
t010100_1480	Kävin pilven piirtä myöten
t010100_1490	Kävin tietä ingen tingen
t010100_1500	Kävin tietä pikkaraisen
t010100_1510	Kävin tietä terhollista
t010100_1520	Käärmeaita
t010100_1530	Käärmetuoppi
t010100_1540	Köyhä poika kosjotteli rikkaan
t010100_1550	Laatokka kun sulaisi
t010100_1560	Laiska lesken poika pani paarmat kyntämään
t010100_1570	Laivanlaatija
t010100_1580	Laivaretki
t010100_1590	Laivassa surmattu veli
t010100_1600	Lapista, Turjan maalta, lintu, yksi siipi vettä viisti
t010100_1610	Lapsenetsintävirsi
t010100_1620	Lauri Lappalainen
t010100_1630	Lehmä teki valkean vasikan
t010100_1640	Leino leski
t010100_1650	Lemminkäisen surma
t010100_1660	Lemminkäisen virsi
t010100_1670	Lensi lintu linnan päälle
t010100_1680	Lesken neidot kuuksi ja tähdiksi
t010100_1690	Leskimies ja nuorimies kosijoina
t010100_1700	Likainen neito
t010100_1710	Lintu Jeesuksen lentämä
t010100_1720	Lintu laskeusi Lapista
t010100_1730	Lintujen käräjät
t010100_1740	Lintunen lehossa lauloi
t010100_1750	Lintunen lehossa lauloi, kelle annan tyttäreni
t010100_1760	Lintuparvi ja poika
t010100_1770	Lohikäärme ja neito
t010100_1780	Luikku lehmän luusta*M
t010100_1790	Lunastettava neito
t010100_1800	Luoja ja Maaria pakenevat Juutaan joukkoa
t010100_1810	Luojan laivaretki
t010100_1830	Luutaan lehosta
